Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
155,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,30-Dec-14
156,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1550,27-Dec-14
157,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1800,1600,26-Dec-14
158,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1311,1311,1311,20-Dec-14
159,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,17-Dec-14
160,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1450,1422,16-Dec-14
161,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1600,1500,15-Dec-14
162,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1351,1450,1400,13-Dec-14
163,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1550,1450,12-Dec-14
164,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1501,1457,11-Dec-14
165,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1411,1500,1411,10-Dec-14
166,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1575,1550,9-Dec-14
167,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1600,1500,8-Dec-14
168,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,5-Dec-14
169,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1700,1600,28-Nov-14
170,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,25-Nov-14
171,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,24-Nov-14
172,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1311,1311,1311,21-Nov-14
173,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,18-Nov-14
174,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1375,1375,1375,14-Nov-14
175,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1351,1600,1351,13-Nov-14
176,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1525,1400,12-Nov-14
177,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1600,1500,10-Nov-14
178,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1600,1500,29-Sep-14
179,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,22-Feb-14
180,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,6-Feb-14
181,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1325,1251,31-Jan-14
182,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1301,1350,1301,11-Jan-14
183,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,10-Jan-14
184,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1500,1450,28-Dec-13
185,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,27-Dec-13
186,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1325,1600,1600,26-Dec-13
187,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,18-Dec-13
188,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,12-Dec-13
189,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1850,1850,1850,4-Dec-13
190,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,2000,1800,3-Dec-13
